source_law,source_article,target_law_id,target_article,dependency_type,dependency_subtype,dependency_strength,confidence,resolution_method,entity_resolution_method,pattern_name,citation_text
codigo-civil-federal,13,constitucion-politica-de-los-estados-unidos-mexicanos,,constitutional_grounding,constitutional_basis,strong,high,heuristic_rule,unknown,constitucion_bare,"rme a su derecho, deberán ser reconocidas;  II. El estado y capacidad de las personas físicas se rige por el derecho del lugar de su domicilio;  III. La constitución, régimen y extinción de los derechos reales sobre inmuebles, así como los contratos de arrendamiento y de uso temporal de tales bienes, y los bienes "
codigo-civil-federal,23,ley-de-instituciones-de-credito,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"n el párrafo anterior, los menores de edad, a partir de los quince años cumplidos, podrán abrir cuentas de depósito bancario de dinero en términos de la Ley de Instituciones de Crédito, sin la intervención de sus representantes y tendrán la administración de los fondos depositados en dichas cuentas con los efectos a que se refiere e"
codigo-civil-federal,25,constitucion-politica-de-los-estados-unidos-mexicanos,,constitutional_grounding,constitutional_basis,strong,high,heuristic_rule,unknown,constitucion_bare,"ociedades civiles o mercantiles;  IV. Los sindicatos, las asociaciones profesionales y las demás a que se refiere la fracción XVI del artículo 123 de la Constitución Federal;  V. Las sociedades cooperativas y mutualistas;  VI. Las asociaciones distintas de las enumeradas que se propongan fines políticos, científic"
codigo-civil-federal,51,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,lo_previsto,"dquirido por los mexicanos fuera de la República, serán bastantes las constancias que los interesados presenten de los actos relativos, sujetándose a lo previsto en el Código Nacional de Procedimientos Civiles y Familiares, y siempre que se registren en la Oficina que corresponda de la Ciudad de México o de los Estados. Artículo reformado DOF 23-12-1974, 03-01-1979, 14-"
codigo-civil-federal,89,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"Artículo 89.- Pronunciado el auto de discernimiento de la tutela y publicado en los términos que previene el Código Nacional de Procedimientos Civiles y Familiares, el Juez de lo Familiar remitirá copia certificada del auto mencionado al Juez del Registro Civil para que levante el acta respectiva. El Curador cui"
codigo-civil-federal,137,codigo-nacional-de-procedimientos-civiles-y-familiares,,procedural,adjudication_or_process,strong,high,heuristic_rule,unknown,direct_mention,Artículo 137.- El juicio de rectificación de acta se seguirá en la forma que establezca en el Código Nacional de Procedimientos Civiles y Familiares. Artículo reformado DOF 14-11-2025
codigo-civil-federal,206,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"ículo 206.- Todo lo relativo a la formación de inventarios y solemnidades de la partición y adjudicación de los bienes, se regirá por lo que disponga el Código Nacional de Procedimientos Civiles y Familiares. Artículo reformado DOF 14-11-2025  CAPITULO VI De la Separación de Bienes"
codigo-civil-federal,272,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"to en los anteriores párrafos de este artículo, pueden divorciarse por mutuo consentimiento, ocurriendo al juez competente en los términos que ordena el Código Nacional de Procedimientos Civiles y Familiares. Párrafo reformado DOF 14-11-2025 Artículo reformado DOF 14-03-1973"
codigo-civil-federal,282,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,conformidad,"do DOF 09-01-1954, 31-12-1974, 27-12-1983, 30-12-1997  I. (Se deroga). Fracción derogada DOF 31-12-1974  II.	Proceder a la separación de los cónyuges de conformidad con el Código Nacional de Procedimientos Civiles y Familiares; Fracción reformada DOF 09-01-1954, 31-12-1974, 14-11-2025  III. Señalar y asegurar los alimentos que debe dar el deudor alimentario al cónyuge acree"
codigo-civil-federal,323,ley-general-de-los-derechos-de-ninas-ninos-y-adolescentes,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"ón o disciplina de niñas, niños o adolescentes. Se define el castigo corporal y humillante según lo dispuesto por la fracción VIII del artículo 47 de la Ley General de los Derechos de Niñas, Niños y Adolescentes. Párrafo adicionado DOF 11-01-2021  La violencia familiar es el acto abusivo de poder u omisión intencional dirigido a dominar,"
codigo-civil-federal,323,ley-general-de-acceso-de-las-mujeres-a-una-vida-libre-de-violencias,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,áter.- Queda prohibido el ejercicio de la violencia a través de interpósita persona en términos de lo establecido en la fracción VI del artículo 6 de la Ley General de Acceso de las Mujeres a una Vida Libre de Violencia. Artículo adicionado DOF 17-01-2024  TITULO SEPTIMO De la Paternidad y Filiación  CAPITULO I De los Hijos de Matrimonio
codigo-civil-federal,399,codigo-nacional-de-procedimientos-civiles-y-familiares,,procedural,adjudication_or_process,strong,high,heuristic_rule,unknown,direct_mention,Artículo 399.- El procedimiento para hacer la adopción será fijado en el Código Nacional de Procedimientos Civiles y Familiares. Artículo reformado DOF 14-11-2025
codigo-civil-federal,416,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,lo_previsto,"uarda y custodia de los menores. En caso de desacuerdo, el Juez de lo Familiar resolverá lo conducente oyendo al Ministerio Público, sin perjuicio de lo previsto en el Código Nacional de Procedimientos Civiles y Familiares. Párrafo reformado DOF 14-11-2025  En este supuesto, con base en el interés superior del menor, éste quedará bajo los cuidados y atenciones de uno de"
codigo-civil-federal,462,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"Artículo 462.- Ninguna tutela puede conferirse sin que previamente se declare en los términos que disponga el Código Nacional de Procedimientos Civiles y Familiares, el estado de incapacidad de la persona que va a quedar sujeta a ella. Artículo reformado DOF 14-11-2025"
codigo-civil-federal,513,codigo-nacional-de-procedimientos-civiles-y-familiares,,generic_unresolved,general_cross_reference,weak,low,fallback,unknown,direct_mention,"Artículo 513.- El tutor debe proponer sus impedimentos o excusas dentro del término fijado por el Código Nacional de Procedimientos Civiles y Familiares, y cuando transcurra el término sin ejercitar el derecho, se entiende renunciada la excusa. Artículo reformado DOF 14-11-2025"
codigo-civil-federal,678,codigo-federal-de-procedimientos-civiles,,procedural,adjudication_or_process,strong,high,heuristic_rule,unknown,direct_mention,"Artículo 678.- El fallo que se pronuncie en el juicio de declaración de ausencia, tendrá los recursos que el Código de Procedimientos asigne para los negocios de mayor interés.  CAPITULO III De los Efectos de la Declaración de Ausencia"
codigo-civil-federal,724,constitucion-politica-de-los-estados-unidos-mexicanos,,constitutional_grounding,constitutional_basis,strong,high,heuristic_rule,unknown,constitucion_bare,"Artículo 724.- La constitución del patrimonio de la familia no hace pasar la propiedad de los bienes que a él quedan afectos, del que lo constituye a los miembros de la familia ben"
codigo-civil-federal,732,constitucion-politica-de-los-estados-unidos-mexicanos,,constitutional_grounding,constitutional_basis,strong,high,heuristic_rule,unknown,constitucion_bare,"rtículo 732.- Si se llenan las condiciones exigidas en el artículo anterior, el Juez, previos los trámites que fije el Código de la materia, aprobará la constitución del patrimonio de la familia y mandará que se hagan las inscripciones correspondientes en el Registro Público."
codigo-civil-federal,733,constitucion-politica-de-los-estados-unidos-mexicanos,,procedural,adjudication_or_process,strong,high,heuristic_rule,unknown,constitucion_bare,"l máximo fijado en el artículo 730, podrá ampliarse el patrimonio hasta llegar a ese valor. La ampliación se sujetará al mismo procedimiento que para la constitución fije el Código de la materia."
codigo-civil-federal,734,constitucion-politica-de-los-estados-unidos-mexicanos,,constitutional_grounding,constitutional_basis,strong,high,heuristic_rule,unknown,constitucion_bare," judicialmente que se constituya el patrimonio de familia hasta por los valores fijados en el artículo 730, sin necesidad de invocar causa alguna. En la constitución de este patrimonio se observará en lo conducente lo dispuesto en los artículos 731 y 732. Artículo reformado DOF 27-12-1983"
